ingredient,general people inflammation,Sam inflammation,Andrea inflammation
Horseradish,0.459,,
Hummus,-0.272,,-0.472
Ice cream bar,-0.502,0.741,0.425
Ice cream cone,-0.634,,
Ice cream cones,-0.055,,
Ice cream cones,0.111,,
Ice cream,-0.685,,
Ice creams,-0.036,,
Ice creams,-0.977,,
Ice creams,-0.053,0.09,-0.973
Ice creams,-0.951,-0.533,
Ice creams,0.239,,-0.762
Ice creams,-0.656,-0.765,0.518
Ice creams,-0.086,0.077,-0.977
Ice creams,-0.332,,-0.866
Imitation cheese,0.275,-0.633,
Infant formula,0.972,0.383,
Infant formula,-0.437,-0.775,0.059
Infant formula,0.142,0.919,-0.704
Infant formula,0.883,0.795,0.97
Infant formula,-0.499,0.077,0.606
Infant formula,0.195,,
Infant formula,0.01,-0.869,
Infant formula,0.689,-0.21,-0.761
Infant formula,0.459,0.903,
Infant formula,-0.115,,0.152
Infant formula,0.061,,0.151
Infant Formula,0.559,0.481,
Infant formula,-0.372,,-0.04
Infant Formula,0.456,-0.493,
Infant formula,-0.17,0.485,
Infant formula,0.071,-0.818,-0.054
Infant Formula,0.412,-0.149,
Infant formula,0.028,-0.964,0.044
Infant formula,0.684,0.449,
Infant formula,-0.968,,-0.762
Iron as ingredient,-0.747,,0.705
Jams and preserves,0.958,,
Jams,0.349,,-0.704
Jams,-0.64,,0.283
Jellies,-0.266,-0.238,0.916
Jellies,0.009,-0.326,0.197
Juice,-0.531,-0.686,
Kale,0.053,,
Kale,0.266,-0.727,
Kefir,-0.325,,
Kefir,-0.231,,
Ketchup,-0.253,-0.416,-0.973
Kielbasa,0.353,,
Kiwifruit,0.871,-0.876,0.637
Knackwurst,-0.775,-0.714,
Kohlrabi,-0.894,-0.811,-0.046
Kumquats,-0.568,0.986,
Lamb,0.328,,
Lamb,0.202,,0.46
Lamb,-0.486,-0.923,
Lamb,-0.052,,
Lamb,-0.424,,0.118
Lambsquarters,-0.803,0.558,
Lard,0.14,0.57,
Lasagna with meat & sauce,-0.709,,
Lasagna,0.809,,
Leavening agents,-0.672,,-0.31
Leavening agents,0.437,,
Leavening agents,-0.699,0.418,0.228
Leavening agents,-0.172,0.735,-0.668
Leavening agents,0.579,-0.935,0.92
Leeks,0.133,0.504,-0.1
Lemon juice from concentrate,-0.554,,
Lemon juice,0.273,,0.996
Lemon peel,0.54,,
Lemonade,-0.901,-0.099,0.087
Lemons,-0.55,-0.591,
Lentils,-0.357,,
Lentils,-0.909,-0.01,
Lettuce,0.245,0.737,
Lettuce,-0.421,,
Lettuce,-0.418,-0.044,
Lettuce,0.663,0.026,
Light ice cream,-0.577,,
Light Ice Cream,0.046,-0.807,-0.052
Light Ice Cream,0.39,,-0.573
Lima beans,0.896,,-0.336
Lima beans,0.241,,
Lime juice,0.74,,
Lime juice,-0.753,,0.382
Limes,-0.424,-0.366,-0.332
Litchis,-0.101,-0.828,
Lotus root,0.549,0.95,
LOW SODIUM: Tomato juice,0.421,-0.672,-0.732
Luncheon meat,-0.39,,
Luncheon meat,0.255,,
Luncheon slices,0.097,,
Macaroni and cheese dinner with dry sauce mix,0.85,-0.157,-0.955
Macaroni and Cheese,-0.252,,0.393
Macaroni or noodles with cheese,-0.787,,
Macaroni or noodles with cheese,0.702,-0.294,
Macaroni,0.103,-0.907,
Malt beverage,-0.678,-0.347,0.342
Mango nectar,-0.488,,
Mango,0.44,,
Mangos,0.17,,
Maraschino cherries,0.164,0.591,-0.97
Margarine,-0.392,0.215,-0.452
Margarine,-0.196,,
Margarine,0.656,0.391,
Margarine-like,-0.327,,-0.405
Margarine-like,0.271,,
Margarine-like,0.654,,
Marmalade,-0.184,,0.368
Mayonnaise,0.033,0.6,
Meatballs,-0.673,,-0.283
Melons,0.091,0.147,
Melons,-0.182,0.179,-0.99
Milk and cereal bar,-0.4,,
Milk,-0.595,,0.286
Milk,0.736,,0.144
Milk,0.279,,0.978
Milk,0.443,,-0.105
Milk,0.58,-0.167,-0.362
Milk,0.277,,-0.641
Milk,-0.67,,
Milk,-0.799,,
Milk,0.343,0.82,
Milk,-0.91,-0.277,-0.445
Milk,-0.341,,
Milk,-0.328,0.954,
Milk,-0.109,-0.018,-0.196
Milk,0.192,,
Milk,0.702,,-0.13
Milk,-0.709,-0.319,-0.143
Milk,0.098,-0.175,-0.096
Milk,0.252,,-0.388
Millet,-0.072,0.838,
Millet,0.835,0.158,
Miso,0.626,,
Molasses,0.904,0.05,-0.895
Mollusks,0.775,-0.582,
Mollusks,-0.702,,0.495
Mollusks,0.354,0.823,0.164
Mollusks,-0.295,0.471,0.313
Mollusks,0.375,-0.02,
Mollusks,0.624,0.413,0.563
Mollusks,0.961,,0.503
Mollusks,-0.651,,-0.873
Mollusks,-0.368,,0.167
Mollusks,0.856,,
Mollusks,0.581,-0.642,
Mortadella,-0.197,,0.082
Muffin,-0.115,0.776,
Muffins,0.864,,0.177
Muffins,-0.359,0.901,0.484
Muffins,0.276,-0.932,0.105
Muffins,-0.959,-0.339,
Muffins,-0.482,,-0.129
Mung beans,0.264,,0.827
Mung beans,0.106,-0.226,
Mung beans,-0.189,-0.226,
Mushroom,-0.487,-0.779,
Mushroom,0.031,0.81,
Mushrooms,0.99,0.446,
Mushrooms,0.289,0.641,
Mushrooms,0.257,,
Mustard greens,-0.776,-0.645,-0.332
Mustard greens,-0.556,0.178,-0.762
Mustard,-0.389,-0.224,-0.434
Natto,-0.324,0.385,0.617
Nectarines,0.698,0.216,
Noodles,-0.882,0.25,-0.856
Noodles,0.252,,-0.856
Noodles,0.239,-0.703,
Noodles,0.566,-0.455,0.526
Noodles,-0.34,-0.951,0.964
Nopales,-0.12,,-0.876
Nutritional supplement for people with diabetes,0.912,,
Nuts,0.883,0.504,-0.187
Nuts,0.39,0.44,-0.969
Nuts,0.785,-0.168,0.551
Nuts,0.189,,
Nuts,-0.781,,
Nuts,0.229,,0.849
Nuts,-0.212,,0.836
Nuts,0.076,-0.755,0.298
Nuts,0.348,,
Nuts,0.075,,
Nuts,0.512,,
Nuts,0.302,,
Nuts,0.418,-0.473,-0.603
Nuts,-0.315,,0.435
Nuts,0.592,0.337,
Nuts,0.178,0.361,
Nuts,0.58,0.102,0.0
Oat bran,-0.46,-0.241,
Oil,-0.324,,-0.278
Oil,0.254,,0.362
Oil,0.071,0.862,-0.072
Oil,-0.902,0.081,
Oil,0.88,,0.395
Oil,-0.167,0.5,0.591
Oil,-0.785,-0.985,-0.183
Oil,0.723,0.673,
Oil,-0.408,-0.986,0.009
Oil,0.718,0.368,-0.231
Oil,-0.021,,
Oil,0.202,,0.685
Oil,0.006,,
Oil,-0.44,,0.181
Oil,-0.172,-0.735,0.32
Oil,-0.186,,-0.571
Oil,0.26,,0.189
Oil,-0.244,-0.349,
Oil,-0.148,,-0.791
Oil,0.97,,-0.914
Oil,0.976,,
Okra,-0.952,,0.652
Okra,-0.233,,
Olives,0.513,0.959,
Olives,-0.213,0.552,-0.511
Olives,0.238,,0.002
Onion rings,0.499,,-0.201
Onions,-0.468,0.47,
Onions,-0.984,,0.785
Onions,0.907,,
Onions,-0.136,,0.335
Onions,-0.394,,-0.122
Onions,-0.932,,
Onions,-0.146,-0.328,
Orange juice,-0.577,,0.41
Orange juice,0.953,0.453,
Orange juice,0.383,,
Orange juice,0.079,0.948,
Orange juice,0.544,,0.384
Oranges,0.501,,0.725
Oranges,0.674,,
Ostrich,0.928,0.85,0.802
Pancakes plain,0.696,0.23,0.868
Pancakes,-0.569,,
Pancakes,-0.792,,
Pancakes,0.912,,
Papad,0.558,,
Papaya nectar,0.782,0.627,
Papayas,-0.779,,
Parmesan cheese topping,0.294,0.798,-0.232
Parsley,-0.998,,
Parsnips,0.418,,-0.497
Passion-fruit juice,0.11,,
Passion-fruit,0.123,,
Pasta mix,-0.61,0.96,0.883
Pasta mix,0.747,,
Pasta mix,-0.678,0.311,-0.252
Pasta,-0.8,,0.335
Pasta,0.495,,
Pasta,-0.388,-0.495,
Pasta,-0.408,-0.179,-0.561
Pate,0.623,,
Peach nectar,0.857,0.557,-0.395
Peaches,-0.192,,
Peaches,0.462,-0.343,-0.444
Peaches,-0.72,,-0.718
Peanut butter,-0.334,0.7,-0.13
Peanut butter,-0.412,,
Peanut butter,-0.183,-0.889,
Peanut butter,-0.197,0.793,
Peanut spread,0.831,0.382,
Peanuts,0.288,0.408,
Peanuts,-0.341,,-0.133
Peanuts,-0.545,,
Peanuts,-0.737,,0.531
Peanuts,0.359,,
Peanuts,-0.932,-0.766,-0.913
Pear nectar,0.489,0.366,0.157
Pears,-0.705,,0.317
Pears,0.407,,0.948
Pears,0.212,,-0.163
Pears,-0.221,,0.215
Pears,0.477,,
Peas,-0.267,,
Peas,0.494,,0.186
Peas,-0.65,,
Peas,-0.649,,-0.914
Peas,0.314,-0.616,
Peas,0.831,0.261,0.795
Peas,0.935,,0.617
Pepper,-0.148,0.921,
Pepperoni,-0.642,,-0.251
Peppers,0.492,-0.131,
Peppers,0.559,-0.573,
Peppers,-0.087,-0.08,0.547
Peppers,0.886,0.24,-0.353
Peppers,0.666,0.435,-0.018
Peppers,0.549,,-0.386
Peppers,0.033,,0.235
Persimmons,-0.519,-0.653,0.212
Pheasant,-0.811,,0.159
Phyllo dough,-0.862,0.125,-0.939
Pickle and pimiento loaf,0.135,,0.52
Pickle relish,0.686,-0.712,
Pickles,0.805,,
Pickles,0.444,0.261,0.54
Pie Crust,0.113,0.385,
Pie crust,-0.666,,
Pie fillings,-0.608,-0.129,
Pie fillings,-0.256,,
Pie,-0.441,,
Pie,-0.154,-0.688,
Pimento,-0.751,0.476,
Pineapple juice,-0.897,-0.233,0.787
Pineapple juice,-0.579,,-0.057
Pineapple,0.772,,0.922
Pineapple,0.585,0.846,0.387
Pizza rolls,0.353,-0.045,
Pizza,0.245,0.862,
Pizza,-0.029,,
Pizza,-0.631,0.676,0.223
Plantains,0.788,0.346,
Plums,-0.579,0.535,0.0
Plums,-0.198,,0.068
Pokeberry shoots,-0.544,,
Pomegranate juice,0.306,,
Pomegranates,-0.415,-0.643,-0.559
Pork sausage,0.066,,-0.491
Pork sausage,0.969,-0.827,-0.163
Pork,0.383,,
Pork,0.647,-0.023,
Pork,-0.29,0.429,
Pork,-0.954,-0.207,
Pork,0.982,-0.436,
Pork,-0.939,-0.661,0.567
Pork,-0.573,,
Pork,0.702,0.56,0.175
Pork,-0.086,,-0.908
Pork,0.286,-0.932,
Pork,0.956,-0.628,
Pork,-0.782,,0.789
Pork,-0.304,0.226,
Pork,0.446,0.714,
Pork,-0.039,-0.875,-0.279
Pork,0.267,,-0.964
Pork,-0.108,0.478,
Pork,0.156,0.028,
Pork,-0.202,,0.919
Pork,0.551,-0.306,0.141
Pork,-0.427,0.419,0.176
Pork,-0.353,0.819,
Pork,0.593,0.135,-0.148
Pork,-0.519,0.47,0.057
Pork,0.748,,0.036
Pork,-0.794,-0.93,-0.883
Pork,-0.161,-0.702,0.703
Pork,-0.947,0.617,
Pork,0.13,,0.252
Pork,0.656,-0.344,
Pork,0.746,,0.343
Pork,-0.334,,
Pork,0.601,-0.717,-0.68
Pork,-0.83,,
Pork,-0.864,0.247,-0.84
Pork,-0.179,,0.176
Pork,-0.108,-0.097,-0.744
Pork,0.227,-0.756,0.769
Pork,-0.575,0.129,
Pork,-0.582,,
Pork,0.091,,
Pork,-0.287,0.316,-0.63
Pork,0.327,,0.674
Pork,0.577,0.983,0.41
Pork,0.766,,
Pork,-0.477,0.735,
Potato chips,0.839,-0.361,
Potato puffs,0.029,,0.24
Potato salad with egg,-0.261,,0.764
Potatoes,-0.086,,-0.352
Potatoes,0.921,0.816,-0.944
Potatoes,-0.249,-0.836,-0.606
Potatoes,0.528,,0.766
Potatoes,-0.593,,
Potatoes,0.366,,0.933
Potatoes,0.627,,-0.434
Potatoes,-0.046,,0.564
Potatoes,-0.368,0.242,
Potatoes,-0.592,,
Potatoes,0.17,-0.655,
Potatoes,-0.73,-0.92,-0.664
Potsticker or wonton,-0.072,,
Poultry salad sandwich spread,0.11,,
Pretzels,-0.742,,0.232
Protein supplement,-0.258,-0.978,-0.613
Protein supplement,-0.77,,-0.534
Prune juice,-0.778,-0.252,
Puddings,0.669,,
Puddings,0.341,-0.083,
Puddings,-0.684,-0.557,-0.843
Puddings,-0.079,-0.5,
Puddings,0.456,-0.853,0.143
Puddings,-0.029,-0.541,
Puddings,-0.163,,-0.49
Puddings,-0.982,0.558,
Puff pastry,-0.26,,0.167
Pumpkin flowers,-0.348,0.152,-0.89
Pumpkin,-0.085,,-0.639
Pumpkin,0.768,0.128,
Quail,-0.655,-0.819,0.652
Quinoa,-0.859,-0.065,-0.405
Radicchio,-0.58,,-0.454
Radishes,-0.183,0.582,-0.189
Raisins,0.437,0.891,
Raspberries,-0.508,0.701,0.066
Ravioli,0.854,,-0.426
Ravioli,-0.851,0.62,
Ravioli,0.333,-0.911,0.249
REDUCED SODIUM: Bologna,0.508,-0.612,-0.915
REDUCED SODIUM: Chicken breast,-0.094,,
REDUCED SODIUM: Ham,0.979,-0.045,0.346
REDUCED SODIUM: Pepperoni,0.994,,0.657
REDUCED SODIUM: Roast beef,0.245,0.524,
REDUCED SODIUM: Salami,0.168,,
REDUCED SODIUM: Turkey breast,0.292,,
Refried beans,-0.668,,
Refried beans,-0.686,,
Restaurant,-0.601,,
Restaurant,0.573,,
Restaurant,0.089,,
Restaurant,0.927,,-0.749
Restaurant,-0.569,0.46,
Restaurant,0.029,,
Restaurant,-0.745,,
Restaurant,-0.999,,0.051
Restaurant,0.392,,
Restaurant,-0.363,-0.536,
Restaurant,0.188,-0.071,
Restaurant,0.338,-0.444,-0.986
Restaurant,0.158,-0.177,
Restaurant,-0.905,-0.762,0.855
Restaurant,0.918,0.186,
Restaurant,0.396,,
Restaurant,0.768,,
Restaurant,0.495,,
Restaurant,0.101,0.419,-0.318
Restaurant,-0.368,0.702,
Restaurant,-0.948,,
Restaurant,0.475,,
Restaurant,0.508,,0.37
Rhubarb,-0.465,,
Rice and vermicelli mix,0.183,-0.758,0.742
Rice and Wheat cereal bar,0.466,-0.221,-0.073
Rice bowl with chicken,0.314,0.859,
Rice cake,0.849,0.864,-0.938
Rice crackers,-0.131,,-0.774
Rice mix,0.759,,0.671
Rice noodles,-0.923,,
Rice,-0.867,-0.178,0.963
Rice,0.755,,
Rice,-0.987,,-0.051
Rice,-0.982,,-0.304
Rice,0.532,,0.288
Rice,-1.0,0.955,0.238
RICE-A-RONI,-0.64,,-0.205
Roast beef,-0.108,-0.658,
Rolls,0.831,-0.647,-0.08
Rolls,-0.139,,
Rolls,0.114,-0.296,
Rolls,-0.003,,
Rolls,-0.051,0.179,
Rolls,-0.436,,-0.461
Rolls,0.132,,0.079
Rolls,-0.455,0.219,0.13
Rolls,0.383,,
Rolls,0.567,,-0.927
Rutabagas,-0.808,,-0.909
Salad dressing,-0.664,-0.587,0.07
Salad dressing,0.395,-0.484,
Salad dressing,-0.345,,0.204
Salad dressing,0.488,,-0.414
Salad dressing,-0.076,-0.598,-0.608
Salad dressing,-0.713,,-0.977
Salad dressing,0.991,-0.532,0.022
Salad dressing,-0.944,-0.425,-0.731
Salad dressing,-0.331,-0.257,0.072
Salad dressing,0.789,,0.672
Salad dressing,0.315,,0.705
Salad dressing,0.117,-0.113,
Salad dressing,0.568,,
Salad dressing,-0.919,,0.81
Salad dressing,0.281,0.565,
Salad dressing,0.555,0.679,0.346
Salad dressing,-0.866,,0.998
Salad dressing,-0.809,-0.591,
Salad dressing,0.018,-0.109,
Salad dressing,0.737,,
Salad dressing,0.278,-0.541,-0.409
Salad dressing,-0.542,,
Salad Dressing,0.333,-0.347,
Salad dressing,0.467,-0.91,-0.832
Salad dressing,-0.581,,-0.573
Salad dressing,0.505,-0.587,-0.521
Salad dressing,-0.65,0.426,
Salad dressing,-0.844,-0.262,-0.961
Salad dressing,0.75,-0.101,
Salad dressing,0.697,0.335,
Salad dressing,-0.88,,-0.434
Salami,-0.085,,
Salami,-0.099,-0.767,
Salisbury steak with gravy,-0.813,,-0.863
Salsify,-0.399,0.563,
Salt,-0.151,-0.132,0.472
Sandwich spread,-0.428,-0.326,-0.63
Sandwich spread,-0.305,,
Sauce,0.867,,
Sauce,0.787,,
Sauce,0.305,-0.396,0.456
Sauce,0.824,,-0.041
Sauce,-0.391,,-0.076
Sauce,-0.503,0.437,
Sauce,-0.701,,-0.004
Sauce,-0.342,-0.612,0.739
Sauce,0.721,,-0.272
Sauce,0.315,-0.182,0.91
Sauce,-0.93,,0.085
Sauce,0.813,0.431,0.91
Sauce,0.888,,
Sauce,0.805,,
Sauce,0.978,,
Sauce,-0.652,-0.946,
Sauce,-0.618,,0.035
Sauce,-0.695,-0.446,
Sauce,0.853,-0.489,-0.031
Sauce,0.284,,
Sauce,-0.773,,
Sauerkraut,0.364,-0.752,
Sausage,0.474,-0.541,0.789
Sausage,-0.192,,0.262
Sausage,-0.544,-0.006,-0.858
Sausage,0.642,,-0.409
Sausage,0.074,-0.267,0.341
Sausage,-0.705,0.113,0.453
Sausage,-0.28,-0.131,
Sausage,-0.047,0.127,0.392
SCHIFF,-0.914,-0.213,-0.268
School Lunch,0.302,-0.231,0.644
School Lunch,0.517,,0.882
School Lunch,0.923,,
School Lunch,0.86,-0.111,
School Lunch,0.949,,0.648
School Lunch,0.946,-0.936,
School Lunch,-0.631,-0.233,0.827
School Lunch,-0.657,,
Scrapple,0.305,,
Seaweed,-0.474,,
Seaweed,0.654,,
Seaweed,0.714,,0.78
Seaweed,-0.652,0.882,0.504
Seaweed,0.951,,
Seeds,-0.181,0.974,
Seeds,0.757,,
Seeds,-0.186,0.414,-0.56
Seeds,0.714,-0.811,-0.375
Sesame butter,-0.235,-0.313,
Shake,-0.167,0.286,
Sherbet,-0.247,,
Shortening industrial,0.116,-0.014,
Shortening,-0.974,,-0.688
Snack,0.02,,
Snack,-0.689,,0.772
Snack,-0.875,,-0.514
Snacks,-0.506,0.762,-0.716
Snacks,0.933,0.559,
Snacks,0.835,-0.882,0.662
Snacks,-0.086,0.282,-0.997
Snacks,-0.63,-0.834,
Snacks,-0.43,-0.389,
Snacks,-0.023,,
Snacks,0.107,,0.938
Snacks,0.961,0.133,-0.152
Snacks,-0.168,,
Snacks,-0.716,,
Snacks,0.499,,0.145
Snacks,0.577,,
Snacks,0.441,,
Snacks,-0.255,,0.395
Snacks,0.764,,
Snacks,0.692,,-0.938
Snacks,0.725,0.78,
Snacks,0.096,,0.331
Snacks,0.221,-0.243,0.998
Snacks,0.888,0.981,
Snacks,-0.288,,
Snacks,0.313,,
Snacks,0.055,,-0.539
Snacks,-0.901,0.603,0.862
Snacks,-0.396,,0.279
Snacks,-0.253,,0.025
Snacks,-0.254,,0.936
Snacks,-0.592,-0.253,
Snacks,0.441,-0.296,
Snacks,0.795,-0.72,0.707
Snacks,-0.668,-0.58,-0.66
Snacks,-0.157,0.166,0.639
Snacks,-0.733,-0.011,
Snacks,-0.834,,0.048
Snacks,-0.016,,
Snacks,-0.06,,-0.041
Snacks,0.103,,0.132
Snacks,0.652,0.436,
Snacks,-0.326,,0.377
Snacks,0.664,-0.905,
Snacks,-0.371,-0.187,0.457
Snacks,-0.967,,
Snacks,0.613,,
Snacks,0.294,-0.992,
Snacks,-0.557,,0.568
Snacks,0.287,-0.279,-0.728
Snacks,-0.047,,
Snacks,0.487,-0.084,
Snacks,-0.818,0.596,0.734
Snacks,0.461,,
Snacks,-0.78,-0.234,
Snacks,-0.558,,
Snacks,0.347,0.123,-0.904
Snacks,0.861,0.79,0.553
Snacks,0.985,,
Snacks,0.049,,0.99
Snacks,-0.773,,
Snacks,-0.411,-0.807,-0.902
Snacks,0.126,0.824,
Soup,-0.219,,0.591
Soup,-0.701,,
Soup,-0.09,,
Soup,-0.51,0.244,
Soup,0.235,,
Soup,0.761,,
Soup,0.017,,-0.808
Soup,0.305,,-0.499
Soup,0.846,,-0.228
Soup,-0.94,0.318,-0.417
Soup,0.518,,-0.059
Soup,0.298,,
Soup,-0.111,0.102,-0.313
Soup,0.864,0.304,
Soup,-0.309,0.325,-0.326
Sour cream,-0.683,,
Sour cream,0.466,,-0.444
Sour cream,-0.174,-0.982,
Soy milk,0.61,0.33,0.905
Soy protein isolate,0.403,0.721,
Soy sauce made from soy and wheat (shoyu),0.268,-0.662,
Soy sauce made from soy and wheat (shoyu),-0.106,,
Soybean,0.972,,
Soybeans,0.598,0.488,0.872
Soybeans,-0.507,,
Soymilk,-0.349,,-0.418
Spices,-0.568,0.403,0.743
Spices,-0.206,,0.086
Spices,-0.661,0.956,
Spices,-0.203,,0.62
Spices,-0.262,-0.059,-0.629
Spices,0.461,0.571,
Spices,-0.125,,
Spices,-0.324,-0.165,0.5
Spices,-0.03,,0.806
Spices,-0.264,,0.372
Spices,-0.121,0.933,
Spices,-0.656,-0.659,0.71
Spices,-0.714,,
Spices,0.962,,-0.96
Spices,-0.739,,0.489
Spices,-0.719,,0.795
Spices,-0.338,0.936,-0.169
Spinach,0.711,,0.981
Spinach,0.426,,0.345
Spinach,0.314,-0.405,-0.356
Spinach,0.691,,
Squash,-0.244,-0.858,-0.786
Squash,-0.481,-0.473,
Squash,-0.746,0.696,
Squash,-0.03,,-0.006
Squash,-0.292,0.172,
Squash,0.156,-0.904,-0.862
Squash,0.914,0.056,
Strawberries,0.636,,
Strawberries,-0.1,,
Strawberries,-0.133,-0.503,0.964
Strawberry-flavor beverage mix,-0.472,,-0.946
Sugars,0.481,0.558,-0.752
Sugars,-0.474,0.836,-0.621
Sugars,-0.471,0.821,-0.524
Sweet potato leaves,0.482,0.728,
Sweet potato,-0.726,-0.135,
Sweet potato,-0.955,,
Sweet Potatoes,0.174,,-0.286
Sweet potatoes,-0.376,-0.777,
Sweet rolls,-0.012,-0.842,
Sweetener,0.893,-0.587,
Sweetener,0.82,0.216,-0.515
Sweeteners,-0.155,,
Sweeteners,-0.388,,-0.767
Sweeteners,0.524,,
Syrup,0.367,-0.784,-0.66
Syrup,0.609,,0.102
Syrups,0.351,0.965,
Syrups,-0.914,,0.591
Syrups,0.49,,
Syrups,-0.497,-0.527,
Syrups,0.139,,
Syrups,0.756,-0.192,
Syrups,0.072,-0.049,
Syrups,-0.697,,
Taco shells,-0.7,0.38,
Tamarinds,-0.966,0.948,
Tangerine juice,-0.409,,0.706
Tangerines,0.551,,0.478
Tangerines,-0.29,0.214,
Tapioca,-0.724,,
Taro leaves,0.784,,0.619
Taro,0.579,,0.435
Tart,0.429,0.157,0.994
Thuringer,0.769,,
Toaster Pastries,-0.311,,0.664
Toddler formula,-0.367,,
Tofu yogurt,0.156,0.843,0.416
Tofu,0.071,-0.773,
Tofu,0.748,,
Tomato and vegetable juice,-0.971,,0.297
Tomato juice,0.379,-0.32,-0.83
Tomato products,0.467,-0.746,0.521
Tomato products,0.278,,-0.877
Tomato products,-0.947,,
Tomato products,-0.664,-0.361,
Tomato,0.98,-0.685,-0.033
Tomatoes,-0.604,-0.459,-0.281
Tomatoes,-0.55,,-0.013
Tomatoes,-0.214,0.443,
Tomatoes,-0.136,-0.989,
Tomatoes,0.492,,-0.754
Tomatoes,0.273,,
Tomatoes,-0.662,,-0.02
Toppings,-0.819,-0.579,
Toppings,-0.309,0.775,-0.785
Toppings,0.745,,
Toppings,0.701,,0.888
Tortellini,0.856,,
Tortillas,-0.828,-0.061,0.925
Tortillas,0.709,,-0.711
Tortillas,0.612,-0.973,0.996
Turkey breast,-0.119,,0.858
Turkey from whole,0.418,,
Turkey from whole,-0.011,,
Turkey,-0.304,,
Turkey,0.191,,
Turkey,0.83,,-0.939
Turkey,0.863,0.052,
Turkey,-0.578,0.179,-0.452
Turkey,0.433,,
Turkey,0.328,0.548,
Turkey,-0.845,0.912,
Turkey,0.603,,
Turkey,-0.028,,
Turkey,-0.102,-0.12,-0.187
Turkey,0.225,-0.125,0.235
Turkey,0.094,0.978,
Turkey,-0.885,,0.477
Turkey,0.935,,
Turkey,0.88,0.242,0.507
Turkey,-0.145,,
Turkey,-0.12,,
Turkey,0.349,,
Turkey,0.583,,0.489
Turkey,-0.144,,
Turkey,-0.266,,0.026
Turkey,-0.588,-0.937,
Turkey,-0.038,,
Turkey,0.332,,0.119
Turkey,-0.896,-0.51,-0.679
Turkey,0.885,,0.561
Turkey,0.377,0.867,
Turkey,-0.219,-0.645,0.698
Turkey,-0.2,0.888,
Turkey,0.265,,-0.441
Turnip greens,0.919,0.07,
Turnip greens,0.172,,0.598
Turnip greens,0.947,,-0.169
Turnips,0.978,,-0.937
Turtle,-0.191,-0.415,0.355
Vanilla extract,-0.679,,
Veal,-0.956,,0.243
Veal,0.318,,0.772
Veal,0.144,-0.314,
Veal,-0.415,0.663,
Veal,0.372,,
Vegetable juice cocktail,0.274,-0.311,
Vegetables,0.472,,
Vegetarian fillets,-0.348,,-0.663
Veggie burgers or soyburgers,0.426,0.398,
Vermicelli,-0.635,,-0.066
Vinegar,-0.255,,-0.404
Vinegar,-0.471,-0.543,
Vitamin B composite in cereals,0.713,0.711,-0.56
Vitamin B-12 as ingredient,-0.52,,
Vitamin C as ingredient,0.428,0.447,0.805
Vitamin D as ingredient,-0.792,,-0.124
Waffle,0.743,-0.079,
Waffles,-0.794,,0.545
Waffles,0.807,,
Wasabi,-0.72,-0.472,-0.758
Water,-0.039,-0.564,0.325
Water,0.678,,
Water,0.146,,
Waterchestnuts,0.188,,-0.071
Watercress,-0.053,-0.503,0.562
Watermelon,-0.437,0.658,0.759
Waxgourd,0.031,0.504,-0.257
Wheat bran,0.641,-0.242,-0.374
Whey,-0.763,-0.78,0.702
Whipped topping,0.145,0.916,
Wild rice,0.595,-0.369,
Wild rice,-0.376,0.001,-0.884
Yambean (jicama),-0.448,,-0.174
Yeast extract spread,0.35,-0.926,-0.634
Yellow rice with seasoning,0.29,,0.187
Yogurt,-0.19,,
Yogurt,-0.188,,
Yogurt,0.509,-0.469,
Yogurt,-0.873,0.967,0.255
Yogurt,-0.784,,
Yogurt,0.128,-0.692,-0.112
Yogurt,-0.328,-0.566,0.095
Zwieback,-0.647,-0.411,
