ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Spices, paprika",-85.0848,26,65,40.0,-85.0848,-87.2201,-80.6482,0.0,0.068,0.172,1.468,0.069,0.337,1.603,7.314,0.453,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,53.99,595.0,26162.0,0.0,51.5,0.713,6186.0,282.0,1.695,7.766,2.14,34.9,49.0,49.0,49.0,0.0,21.14,18944.0,0.0,178.0,10.06,314.0,2280.0,14.14,0.0,1.23,6.3,68.0,10.34,0.0,0.33,12.89,2463.0,0.0,0.0,2.141,0.9,0.0,29.1,0.0,80.3,11.24,4.33
"Spices, parsley, dried",-255.1537,26,65,40.0,-255.1537,,-274.0678,0.0,0.0,0.0,1.223,0.0,0.058,0.761,1.248,1.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,50.64,17.0,1152.0,0.0,97.1,0.78,4.0,292.0,0.761,3.124,1.378,26.7,180.0,180.0,180.0,0.0,22.04,2428.0,0.0,400.0,9.943,436.0,2683.0,26.63,0.0,2.383,14.1,452.0,7.27,0.0,0.196,5.48,97.0,0.0,0.0,0.9,125.0,0.0,8.96,0.0,1359.5,5.89,5.44
"Spices, pepper, black",-59.7715,27,65,41.5,-59.7715,-58.2878,,0.036,0.093,0.03,0.533,0.077,0.327,0.647,0.694,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.102,0.0,0.0,443.0,63.95,12.0,310.0,0.0,11.3,1.33,25.0,251.0,0.739,0.998,1.392,25.3,17.0,17.0,17.0,0.0,9.71,454.0,20.0,171.0,1.143,158.0,1329.0,10.39,0.0,0.18,4.9,20.0,0.64,0.0,0.108,3.26,27.0,0.0,0.0,0.291,0.0,0.0,1.04,0.0,163.7,12.46,1.19
"Spices, pepper, red or cayenne",-89.0485,27,65,41.5,-89.0485,-86.5525,-112.8783,0.03,0.03,0.09,2.36,0.24,0.49,2.51,7.71,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,56.63,0.0,21840.0,0.0,51.5,0.373,6252.0,318.0,2.75,8.37,3.26,27.2,106.0,106.0,106.0,0.0,7.8,13157.0,0.0,152.0,8.701,293.0,2014.0,12.01,0.0,0.919,8.8,30.0,10.34,0.0,0.328,17.27,2081.0,0.0,0.0,2.45,76.4,0.0,29.83,0.0,80.3,8.05,2.48
"Spices, sage, ground",-306.2108,26,65,40.0,-306.2108,,-335.7662,0.76,0.3,0.72,3.15,0.12,1.25,1.75,0.53,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,1652.0,60.73,0.0,3485.0,0.0,43.6,0.757,109.0,315.0,1.87,1.76,7.03,40.3,274.0,274.0,274.0,0.0,28.12,1895.0,0.0,428.0,5.72,91.0,1070.0,10.63,0.0,0.336,3.7,11.0,1.71,0.0,0.754,12.75,295.0,0.0,0.0,2.69,32.4,0.0,7.48,0.0,1714.5,7.96,4.7
"Spices, thyme, dried",-174.4098,27,65,41.5,-174.4098,,,0.12,0.23,0.15,1.72,0.0,0.28,0.47,0.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1890.0,63.94,0.0,2264.0,0.0,43.6,0.86,33.0,276.0,0.47,1.19,2.73,37.0,274.0,274.0,274.0,0.0,123.6,1895.0,0.0,220.0,4.94,201.0,814.0,9.11,0.0,0.399,4.6,55.0,1.71,0.0,0.513,7.43,190.0,0.0,0.0,0.55,50.0,0.0,7.48,0.0,1714.5,7.79,6.18
"Spices, turmeric, ground",-55.6087,27,65,41.5,-55.6087,-56.2527,-55.4646,0.848,0.003,0.394,0.155,0.0,0.003,0.131,0.672,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,168.0,67.14,0.0,0.0,0.0,49.2,1.3,0.0,312.0,0.449,0.756,1.838,22.7,20.0,20.0,20.0,0.0,55.0,0.0,0.0,208.0,1.35,299.0,2080.0,9.68,0.0,0.15,6.2,27.0,3.21,0.0,0.058,3.25,0.0,0.0,0.0,0.107,0.7,0.0,4.43,0.0,13.4,12.85,4.5
"Basil, fresh",-143.662,26,65,40.0,-143.662,,-142.4525,0.0,0.0,0.0,0.036,0.0,0.005,0.088,0.073,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,2.65,0.0,3142.0,0.0,11.4,0.385,46.0,23.0,0.088,0.389,0.041,1.6,68.0,68.0,68.0,0.0,3.17,5650.0,0.0,64.0,0.902,56.0,295.0,3.15,0.0,0.076,0.3,4.0,0.3,0.0,0.034,0.64,264.0,0.0,0.0,0.155,18.0,0.0,0.8,0.0,414.8,92.06,0.81
"Mustard, prepared, yellow",-21.0539,26,65,40.0,-21.0539,-20.2465,,0.005,0.003,0.004,0.138,0.009,0.045,0.92,0.43,0.444,0.0,0.345,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,5.3,1.0,31.0,0.0,22.4,0.074,27.0,69.0,2.59,0.903,0.252,4.3,7.0,7.0,7.0,0.0,1.59,115.0,0.0,48.0,0.561,108.0,150.0,4.25,0.0,0.066,34.0,1100.0,1.42,0.0,0.189,3.38,4.0,0.0,0.0,0.069,0.4,0.0,0.35,0.0,1.5,83.7,0.64
"Salt, table",-0.0191,26,65,40.0,-0.0191,-0.0181,-0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,38700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0
"Vinegar, cider",1.425,26,65,40.0,1.425,1.401,1.3859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.93,0.0,0.0,0.0,0.0,0.008,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.0,0.0,8.0,73.0,0.0,0.0,0.0,0.1,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.81,0.04
"Vanilla extract, imitation, no alcohol",10.955,26,65,40.0,10.955,9.8945,11.6454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.4,0.0,0.0,0.0,0.0,0.003,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.129,0.0,0.0,0.03,0.0,0.029,0.0,3.0,14.4,0.0,0.003,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,85.58,0.01
"Vinegar, distilled",2.6622,26,65,40.0,2.6622,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.04,0.0,0.0,0.0,0.0,0.006,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.5,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.78,0.01
"Capers, canned",-18.6929,26,65,40.0,-18.6929,-19.1169,-19.8839,0.0,0.0,0.001,0.17,0.004,0.036,0.057,0.111,0.183,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.89,0.0,83.0,0.0,6.5,0.374,0.0,23.0,0.063,0.304,0.233,3.2,23.0,23.0,23.0,0.0,1.67,0.0,0.0,33.0,0.652,10.0,40.0,2.36,0.0,0.139,1.2,2348.0,0.41,0.0,0.018,0.86,7.0,0.0,0.0,0.023,4.3,0.0,0.88,0.0,24.6,83.85,0.32
"Horseradish, prepared",-16.8398,26,65,40.0,-16.8398,-15.7111,-17.2097,0.0,0.002,0.001,0.061,0.001,0.021,0.127,0.285,0.053,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,11.29,0.0,1.0,0.0,6.5,0.058,0.0,48.0,0.13,0.339,0.09,3.3,57.0,57.0,57.0,0.0,0.42,10.0,0.0,27.0,0.386,31.0,246.0,1.18,0.0,0.024,2.8,420.0,7.99,0.0,0.008,0.69,0.0,0.0,0.0,0.073,24.9,0.0,0.01,0.0,1.3,85.08,0.83
Clif Z bar,16.5013,26,65,40.0,16.5013,17.6828,17.4003,0.0,0.007,0.011,1.532,0.023,1.156,2.42,2.86,0.455,0.0,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,444.0,74.72,0.0,4.0,0.0,22.5,0.187,0.0,416.0,2.447,3.319,2.721,8.3,31.0,4.0,20.0,16.0,2.7,61.0,0.0,82.0,0.478,244.0,333.0,5.55,0.0,0.1,14.8,375.0,30.56,9.0,0.411,9.72,0.0,0.0,0.0,0.073,39.1,0.0,0.98,0.53,8.7,7.74,1.15
"Babyfood, meat, beef, strained",13.5368,26,65,40.0,13.5368,14.13,13.7263,0.0,0.0,0.06,0.53,0.07,0.54,0.86,0.09,0.04,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.43,0.0,0.0,51.0,37.6,0.148,0.0,81.0,0.95,0.16,1.18,0.0,8.0,8.0,8.0,0.0,0.98,0.0,0.0,11.0,2.495,93.0,187.0,12.03,0.0,0.135,2.9,41.0,0.0,0.0,0.013,2.52,0.0,1.26,0.0,0.039,2.1,0.4,0.37,0.0,0.6,82.44,2.22
"Babyfood, meat, ham, strained",9.7591,26,65,40.0,9.7591,,,0.0,0.007,0.046,0.797,0.105,0.385,1.646,0.464,0.02,0.0,0.039,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.7,0.0,0.0,24.0,45.2,0.065,0.0,97.0,1.803,0.51,1.267,0.0,2.0,2.0,2.0,0.0,1.03,0.0,0.0,13.0,2.633,81.0,204.0,11.3,2.0,0.154,14.2,44.0,0.0,0.0,0.139,3.8,2.0,0.1,0.0,0.252,2.1,0.4,0.13,0.0,0.0,80.5,2.25
"Babyfood, meat, chicken, strained",19.9044,26,65,40.0,19.9044,18.3132,20.662,0.0,0.0,0.05,1.48,0.29,0.42,3.25,1.85,0.04,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.1,0.0,0.0,61.0,43.2,0.045,0.0,130.0,3.56,1.92,2.03,0.0,3.0,3.0,3.0,0.0,1.4,0.0,0.0,13.0,3.255,97.0,141.0,13.7,6.0,0.152,11.0,49.0,0.0,0.0,0.014,7.9,6.0,0.4,0.0,0.2,1.7,0.3,0.25,0.0,1.0,77.5,1.21
"Babyfood, meat, turkey, strained",18.0872,26,65,40.0,18.0872,,19.0917,0.0,0.0,0.04,0.77,0.14,0.33,1.52,1.04,0.06,0.02,0.01,0.05,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.4,0.0,0.0,58.0,39.8,0.148,0.0,111.0,2.384,1.741,1.641,0.0,8.0,8.0,8.0,0.0,0.7,0.0,0.0,12.0,2.61,117.0,135.0,11.5,0.0,0.163,12.0,49.0,0.0,0.0,0.008,6.2,0.0,1.11,0.0,0.029,2.2,0.8,0.08,0.0,0.0,80.32,1.77
"Babyfood, meat, turkey sticks, junior",34.0257,26,65,40.0,34.0257,,,0.0,0.02,0.102,2.539,0.772,1.015,3.798,3.006,0.163,0.0,0.02,0.284,0.0,0.02,0.041,0.061,0.0,0.0,0.0,0.0,0.0,83.0,1.4,0.0,0.0,65.0,53.3,0.148,0.0,188.0,4.671,3.615,4.143,0.2,11.0,11.0,11.0,0.0,0.92,0.0,0.0,10.0,1.94,120.0,120.0,13.7,6.0,0.181,13.5,295.0,1.4,0.0,0.008,14.2,6.0,1.3,0.0,0.023,1.5,0.4,0.12,0.0,0.0,69.8,2.4
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",19.0481,26,65,40.0,19.0481,20.54,20.4046,0.0,0.002,0.004,0.115,0.001,0.012,0.151,0.252,0.011,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,535.0,85.79,0.0,6.0,0.0,11.5,0.213,4.0,344.0,0.306,0.527,0.143,3.8,20.0,10.0,16.0,6.0,24.74,45.0,0.0,60.0,28.767,448.0,196.0,6.19,0.0,2.267,6.2,13.0,17.84,0.0,1.563,2.3,1.0,0.0,0.0,1.8,1.3,0.0,10.33,10.07,1.3,3.62,17.46
"Babyfood, water, bottled, GERBER, without added fluoride",0.0,26,65,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0
"Babyfood, macaroni and cheese, toddler",-0.123,26,65,40.0,-0.123,-0.1478,-0.1322,0.043,0.038,0.237,0.727,0.071,0.289,0.591,0.131,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.038,0.02,0.0,0.0,102.0,11.2,0.0,6.0,7.0,3.2,0.041,0.0,82.0,0.7,0.17,1.53,0.5,40.0,3.0,25.0,22.0,0.6,2.0,0.0,9.0,0.79,81.0,18.0,3.5,19.0,0.09,6.6,264.0,0.79,0.0,0.04,2.6,19.0,0.06,0.0,0.05,0.0,0.0,0.03,0.0,0.2,81.7,0.43
"Babyfood, vegetables, green beans, junior",-20.6522,26,65,40.0,-20.6522,-19.7595,-20.533,0.0,0.0,0.0,0.019,0.0,0.003,0.004,0.02,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5.8,0.0,292.0,0.0,22.6,0.049,0.0,24.0,0.004,0.052,0.023,1.9,33.0,33.0,33.0,0.0,1.08,493.0,0.0,22.0,0.321,19.0,128.0,1.2,0.0,0.102,0.3,5.0,1.08,0.0,0.021,0.1,24.0,0.0,0.0,0.035,8.4,0.0,0.32,0.0,11.1,92.5,0.19
"Babyfood, vegetables, beets, strained",-2.6502,26,65,40.0,-2.6502,-2.7742,-2.5423,0.0,0.0,0.0,0.016,0.0,0.0,0.019,0.033,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.7,0.0,16.0,0.0,4.8,0.07,0.0,34.0,0.019,0.036,0.016,1.9,31.0,31.0,31.0,0.0,0.32,0.0,0.0,14.0,0.132,14.0,182.0,1.3,0.0,0.043,0.1,83.0,6.09,0.0,0.011,0.1,1.0,0.0,0.0,0.024,2.4,0.0,0.03,0.0,0.2,90.1,0.12
"Babyfood, vegetables, carrots, strained",-236.066,26,65,40.0,-236.066,-241.6299,-257.9575,0.0,0.001,0.001,0.014,0.001,0.001,0.003,0.04,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,2602.0,5575.0,0.0,6.9,0.041,0.0,26.0,0.004,0.047,0.018,1.7,15.0,15.0,15.0,0.0,0.37,0.0,0.0,9.0,0.463,20.0,196.0,0.8,0.0,0.04,0.2,69.0,3.64,0.0,0.023,0.1,573.0,0.0,0.0,0.073,5.7,0.0,0.52,0.0,14.4,92.3,0.15
"Babyfood, vegetables, carrots, junior",-243.0689,26,65,40.0,-243.0689,-243.8798,,0.0,0.002,0.001,0.028,0.002,0.001,0.007,0.08,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.2,2682.0,5745.0,0.0,8.0,0.047,0.0,32.0,0.009,0.093,0.036,1.7,17.0,17.0,17.0,0.0,0.39,230.0,0.0,11.0,0.497,20.0,202.0,0.8,0.0,0.041,0.2,49.0,3.16,0.0,0.024,0.2,591.0,0.0,0.0,0.08,5.5,0.0,0.52,0.0,12.5,91.0,0.18
"Babyfood, vegetables, squash, strained",-36.9595,26,65,40.0,-36.9595,-37.5251,,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.73,242.0,896.0,0.0,7.6,0.03,9.0,28.0,0.02,0.04,0.02,0.9,8.0,8.0,8.0,0.0,0.32,3527.0,0.0,14.0,0.683,21.0,185.0,0.81,0.0,0.048,0.2,5.0,3.37,0.0,0.029,0.2,85.0,0.0,0.0,0.07,0.3,0.0,0.55,0.0,4.7,92.66,0.19
"Babyfood, vegetables, squash, junior",-37.6795,26,65,40.0,-37.6795,-38.6897,-35.5878,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.73,242.0,896.0,0.0,7.6,0.03,9.0,24.0,0.02,0.04,0.02,0.9,8.0,8.0,8.0,0.0,0.32,3527.0,0.0,14.0,0.683,21.0,185.0,0.81,0.0,0.048,0.2,5.0,3.24,0.0,0.029,0.2,85.0,0.0,0.0,0.07,0.3,0.0,0.55,0.0,4.7,92.66,0.19
"Babyfood, vegetables, sweet potatoes strained",-131.8083,26,65,40.0,-131.8083,,,0.0,0.0,0.0,0.019,0.0,0.002,0.004,0.037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.2,0.0,3863.0,0.0,13.1,0.081,0.0,57.0,0.004,0.044,0.021,1.5,10.0,10.0,10.0,0.0,0.37,0.0,0.0,13.0,0.358,24.0,263.0,1.1,0.0,0.033,0.7,22.0,4.05,0.0,0.028,0.1,322.0,0.0,0.0,0.093,9.9,0.0,0.52,0.0,1.4,84.8,0.21
"Babyfood, vegetables, sweet potatoes, junior",-134.6406,26,65,40.0,-134.6406,-154.9699,-156.9761,0.0,0.0,0.0,0.019,0.0,0.002,0.004,0.037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,3982.0,0.0,13.1,0.1,0.0,60.0,0.004,0.044,0.021,1.5,10.0,10.0,10.0,0.0,0.39,0.0,0.0,12.0,0.384,24.0,243.0,1.1,0.0,0.034,0.7,18.0,4.24,0.0,0.026,0.1,332.0,0.0,0.0,0.113,9.6,0.0,0.52,0.0,1.5,84.1,0.11
"Babyfood, potatoes, toddler",-2.0852,26,65,40.0,-2.0852,,,0.001,0.002,0.001,0.009,0.001,0.002,0.001,0.019,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.73,0.0,0.0,0.0,13.2,0.07,0.0,52.0,0.002,0.025,0.015,0.9,6.0,6.0,6.0,0.0,0.2,0.0,0.0,15.0,0.35,23.0,110.0,1.0,0.0,0.01,0.8,57.0,0.91,0.0,0.02,0.1,0.0,0.0,0.0,0.07,10.5,0.0,0.02,0.0,0.2,86.8,0.17
"Babyfood, fruit, applesauce, strained",-11.0792,26,65,40.0,-11.0792,,,0.0,0.0,0.0,0.028,0.0,0.004,0.008,0.048,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.8,0.0,12.0,0.0,3.4,0.038,9.0,41.0,0.008,0.056,0.032,1.7,2.0,2.0,2.0,0.0,0.22,17.0,0.0,3.0,0.061,7.0,71.0,0.2,0.0,0.028,0.3,0.0,9.87,0.0,0.012,0.2,1.0,0.0,0.0,0.031,38.3,0.0,0.6,0.0,0.5,88.6,0.02
"Babyfood, fruit, applesauce, junior",-11.292,26,65,40.0,-11.292,,-11.4723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.3,0.0,2.0,0.0,3.4,0.035,2.0,37.0,0.0,0.0,0.0,1.7,2.0,2.0,2.0,0.0,0.22,9.0,0.0,3.0,0.063,6.0,77.0,0.0,0.0,0.027,0.3,1.0,8.48,0.0,0.012,0.0,0.0,0.0,0.0,0.03,37.8,0.0,0.6,0.0,0.3,89.5,0.04
"Babyfood, vegetables, corn, creamed, strained",3.2206,26,65,40.0,3.2206,,3.5005,0.001,0.0,0.003,0.062,0.001,0.007,0.115,0.171,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,20.0,14.1,20.0,26.0,1.0,8.6,0.034,5.0,57.0,0.116,0.176,0.076,2.1,17.0,17.0,17.0,0.0,0.28,357.0,0.0,8.0,0.512,33.0,90.0,1.4,2.0,0.047,1.3,43.0,1.23,0.0,0.013,0.4,5.0,0.02,0.0,0.041,2.1,0.0,0.04,0.0,0.0,83.6,0.19
"Babyfood, vegetables, peas, strained",-4.7641,26,65,40.0,-4.7641,,-4.6926,0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.36,11.0,124.0,0.0,32.2,0.061,0.0,50.0,0.05,0.2,0.07,2.0,28.0,28.0,28.0,0.0,0.95,1465.0,0.0,17.0,1.119,50.0,106.0,3.27,0.0,0.065,0.1,5.0,2.01,0.0,0.087,0.43,11.0,0.0,0.0,0.016,0.6,0.0,0.02,0.0,15.5,87.52,0.47
"Babyfood, vegetables, spinach, creamed, strained",-116.5127,26,65,40.0,-116.5127,-125.0946,,0.025,0.029,0.112,0.31,0.028,0.13,0.291,0.06,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.019,0.013,0.0,0.0,89.0,5.7,0.0,2456.0,5.0,16.1,0.06,0.0,37.0,0.332,0.133,0.702,1.8,61.0,61.0,61.0,0.0,0.62,4505.0,0.0,55.0,0.216,54.0,191.0,2.5,23.0,0.104,2.4,49.0,2.33,0.0,0.015,1.3,227.0,0.06,0.0,0.075,8.7,0.0,0.83,0.0,196.7,89.6,0.31
"Babyfood, fruit, peaches, strained",-25.7312,26,65,40.0,-25.7312,-25.2791,-25.9273,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.48,0.0,378.0,0.0,8.5,0.03,68.0,65.0,0.01,0.04,0.02,1.3,21.0,21.0,21.0,0.0,0.23,163.0,0.0,7.0,1.64,15.0,195.0,0.94,0.0,0.077,0.1,4.0,11.5,0.0,0.015,0.33,34.0,0.0,0.0,0.018,46.1,0.0,1.99,1.39,6.6,83.65,0.11
"Babyfood, fruit, peaches, junior",-25.7312,26,65,40.0,-25.7312,-26.7548,-25.0927,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.48,0.0,378.0,0.0,8.5,0.03,68.0,65.0,0.01,0.04,0.02,1.3,21.0,21.0,21.0,0.0,0.23,163.0,0.0,7.0,1.64,15.0,195.0,0.94,0.0,0.077,0.1,4.0,11.5,0.0,0.015,0.33,34.0,0.0,0.0,0.018,46.1,0.0,1.99,1.39,6.6,83.65,0.11
"Babyfood, fruit, pears, strained",-8.0446,26,65,40.0,-8.0446,-8.3289,-8.4975,0.0,0.0,0.0,0.008,0.0,0.002,0.04,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.8,0.0,9.0,0.0,3.6,0.065,1.0,42.0,0.042,0.046,0.012,2.8,4.0,4.0,4.0,0.0,0.24,36.0,0.0,8.0,0.189,12.0,130.0,0.3,0.0,0.028,0.4,1.0,6.98,0.0,0.013,0.2,1.0,0.0,0.0,0.008,24.5,0.0,0.09,0.0,3.2,88.4,0.08
"Babyfood, fruit, pears, junior",-7.2698,26,65,40.0,-7.2698,-7.0171,-7.3608,0.0,0.0,0.0,0.004,0.0,0.001,0.02,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.6,0.0,10.0,0.0,2.3,0.08,1.0,44.0,0.021,0.023,0.006,2.8,4.0,4.0,4.0,0.0,0.25,38.0,0.0,9.0,0.188,12.0,115.0,0.3,0.0,0.03,0.4,1.0,7.34,0.0,0.014,0.1,1.0,0.0,0.0,0.01,22.0,0.0,0.6,0.0,3.4,87.8,0.08
"Babyfood, prunes, without vitamin c, strained",7.8985,26,65,40.0,7.8985,,,0.0,0.0,0.0,0.013,0.002,0.003,0.13,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.52,4.0,30.0,0.0,3.7,0.164,7.0,100.0,0.13,0.04,0.02,2.7,1.0,1.0,1.0,0.0,0.4,55.0,0.0,17.0,0.72,30.0,306.0,1.0,0.0,0.21,0.8,1.0,14.28,0.0,0.02,0.2,3.0,0.0,0.0,0.11,1.3,0.0,0.55,0.0,22.1,74.3,0.2
"Babyfood, juice, apple",-6.9287,26,65,40.0,-6.9287,-7.3265,,0.0,0.0,0.0,0.016,0.0,0.002,0.002,0.027,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.7,0.0,8.0,0.0,1.8,0.04,6.0,47.0,0.002,0.031,0.018,0.1,0.0,0.0,0.0,0.0,0.57,16.0,0.0,3.0,0.083,5.0,91.0,0.0,0.0,0.016,0.1,8.0,10.7,0.0,0.007,0.1,1.0,0.0,0.0,0.029,33.8,0.0,0.6,0.0,0.0,88.0,0.03
